date,L_wb,P_lake,E_lake,Q_in,Q_out
1850-02-06,1134.3259424730397,0.00830215297134246,0.0038397480781541316,0.002306126467063087,0.0008016028575055335
1850-02-07,1134.3252996394638,0.0031169722100257823,0.003947524737682587,0.000992486442125892,0.000804767490503203
1850-02-08,1134.3234803425103,0.0024991033876525675,0.004114024076382637,0.0006000499900343156,0.0008044262547677363
1850-02-09,1134.320114474516,0.001005706409240125,0.0040368961157266105,0.0004687826225857183,0.0008034609103996366
1850-02-10,1134.3201084487946,0.003991137369249269,0.0041792580226019385,0.0009837714014245338,0.0008016764694646021
1850-02-11,1134.3202926711613,0.004015104127728313,0.004072113460803746,0.0010429049765138683,0.0008016732766695663
1850-02-12,1134.3208913052636,0.004461598164907118,0.003972000821481189,0.0009108076505251341,0.0008017708918135885
1850-02-13,1134.3295296362644,0.010841409298814707,0.003813029940152012,0.0024120397774915108,0.0008020881353251194
1850-02-14,1134.3251146548726,2.782850472428369e-05,0.0037716376317927947,0.00013550073710612395,0.0008066730016497551
1850-02-15,1134.3207103680186,0.0001140290890536892,0.003926025315145539,0.00021203744483955296,0.0008043280727595136
1850-02-16,1134.3190429550511,0.002750329080414257,0.004120535570211517,0.0005047857639331819,0.0008019922417775206
1850-02-17,1134.319459213911,0.004420813924837933,0.0042173665736054645,0.0010139203221329223,0.000801108813496964
1850-02-18,1134.3330960541437,0.008069339783197304,0.004084803174700601,0.010453632934000819,0.0008013293098275672
1850-02-19,1134.3295636009277,0.001034998579446169,0.004187589670718542,0.0004287076130249153,0.0008085697376755191
1850-02-20,1134.330072822515,0.004450056622151188,0.004377811202010425,0.0012436672215734464,0.0008066910545958975
